,south_total_kg_per_s
1979,46187526.907721356
1980,25687716.143778738
1981,43980118.97989899
1982,19124369.706752528
1983,22068811.22057766
1984,44916805.08256881
1985,47446032.87386678
1986,35789009.496231556
1987,45563751.86723054
1988,12755461.239221206
1989,18184553.52296865
1990,50450375.862801015
1991,29867253.609971568
1992,19524390.711305834
1993,23521240.992647044
1994,30850356.719937783
1995,48345741.03471451
1996,34377170.268514186
1997,32046611.837004054
1998,40020794.92727374
1999,32037222.2675764
2000,36480456.22692768
2001,27086086.734447584
2002,27872204.446188048
2003,29670657.150374085
2004,24374836.738957837
2005,36402297.24217869
2006,36980932.95088912
2007,38958637.46446256
2008,32447845.34524902
2009,29631904.4802517
2010,54222402.09246127
2011,53954559.88748583
2012,40097248.17485702
2013,44058216.05861066
2014,19600781.964288086
2015,18879487.80007661
2016,20962533.229760915
2017,19431236.970628656
2018,30007649.12968916
2019,21181189.239316236
2020,48530781.545692004
2021,35402141.642630264
2022,43032045.66462864
2023,36729695.02560084
2024,37822371.58914773
2025,43140848.447825156
